GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US13001,13001,"Appling County, Georgia",72100,8432
0500000US13003,13003,"Atkinson County, Georgia",62500,6246
0500000US13005,13005,"Bacon County, Georgia",73200,11205
0500000US13007,13007,"Baker County, Georgia",79500,16286
0500000US13009,13009,"Baldwin County, Georgia",108800,8550
0500000US13011,13011,"Banks County, Georgia",128900,12174
0500000US13013,13013,"Barrow County, Georgia",134300,2785
0500000US13015,13015,"Bartow County, Georgia",140500,5117
0500000US13017,13017,"Ben Hill County, Georgia",81200,5123
0500000US13019,13019,"Berrien County, Georgia",86700,4948
0500000US13021,13021,"Bibb County, Georgia",117300,3673
0500000US13023,13023,"Bleckley County, Georgia",98800,12750
0500000US13025,13025,"Brantley County, Georgia",68200,7838
0500000US13027,13027,"Brooks County, Georgia",92400,9150
0500000US13029,13029,"Bryan County, Georgia",201700,9630
0500000US13031,13031,"Bulloch County, Georgia",131200,5331
0500000US13033,13033,"Burke County, Georgia",86500,5913
0500000US13035,13035,"Butts County, Georgia",121500,9076
0500000US13037,13037,"Calhoun County, Georgia",49000,7498
0500000US13039,13039,"Camden County, Georgia",154500,5973
0500000US13043,13043,"Candler County, Georgia",88600,8065
0500000US13045,13045,"Carroll County, Georgia",119600,3220
0500000US13047,13047,"Catoosa County, Georgia",138800,3561
0500000US13049,13049,"Charlton County, Georgia",82200,7415
0500000US13051,13051,"Chatham County, Georgia",177900,4691
0500000US13053,13053,"Chattahoochee County, Georgia",81700,14285
0500000US13055,13055,"Chattooga County, Georgia",68500,7079
0500000US13057,13057,"Cherokee County, Georgia",220200,4395
0500000US13059,13059,"Clarke County, Georgia",154600,4388
0500000US13061,13061,"Clay County, Georgia",59900,17319
0500000US13063,13063,"Clayton County, Georgia",89400,1694
0500000US13065,13065,"Clinch County, Georgia",63100,12983
0500000US13067,13067,"Cobb County, Georgia",219700,2503
0500000US13069,13069,"Coffee County, Georgia",87600,6315
0500000US13071,13071,"Colquitt County, Georgia",84500,4192
0500000US13073,13073,"Columbia County, Georgia",183800,4027
0500000US13075,13075,"Cook County, Georgia",87800,6800
0500000US13077,13077,"Coweta County, Georgia",190700,3896
0500000US13079,13079,"Crawford County, Georgia",93300,11476
0500000US13081,13081,"Crisp County, Georgia",83900,8231
0500000US13083,13083,"Dade County, Georgia",122500,8769
0500000US13085,13085,"Dawson County, Georgia",202300,17352
0500000US13087,13087,"Decatur County, Georgia",109800,8067
0500000US13089,13089,"DeKalb County, Georgia",176000,3081
0500000US13091,13091,"Dodge County, Georgia",73400,6138
0500000US13093,13093,"Dooly County, Georgia",83200,6703
0500000US13095,13095,"Dougherty County, Georgia",102100,4237
0500000US13097,13097,"Douglas County, Georgia",140100,5046
0500000US13099,13099,"Early County, Georgia",82700,9018
0500000US13101,13101,"Echols County, Georgia",57000,4246
0500000US13103,13103,"Effingham County, Georgia",155500,3708
0500000US13105,13105,"Elbert County, Georgia",81800,3996
0500000US13107,13107,"Emanuel County, Georgia",78500,8183
0500000US13109,13109,"Evans County, Georgia",83600,5190
0500000US13111,13111,"Fannin County, Georgia",171500,7392
0500000US13113,13113,"Fayette County, Georgia",255300,6440
0500000US13115,13115,"Floyd County, Georgia",126600,4592
0500000US13117,13117,"Forsyth County, Georgia",301100,4316
0500000US13119,13119,"Franklin County, Georgia",101600,11686
0500000US13121,13121,"Fulton County, Georgia",268900,4507
0500000US13123,13123,"Gilmer County, Georgia",162400,6918
0500000US13125,13125,"Glascock County, Georgia",66600,10779
0500000US13127,13127,"Glynn County, Georgia",161200,6184
0500000US13129,13129,"Gordon County, Georgia",119500,5887
0500000US13131,13131,"Grady County, Georgia",110500,7649
0500000US13133,13133,"Greene County, Georgia",175800,27464
0500000US13135,13135,"Gwinnett County, Georgia",185200,1897
0500000US13137,13137,"Habersham County, Georgia",137200,5693
0500000US13139,13139,"Hall County, Georgia",171900,2729
0500000US13141,13141,"Hancock County, Georgia",66100,5635
0500000US13143,13143,"Haralson County, Georgia",117000,10398
0500000US13145,13145,"Harris County, Georgia",194800,11211
0500000US13147,13147,"Hart County, Georgia",131200,10146
0500000US13149,13149,"Heard County, Georgia",100500,14080
0500000US13151,13151,"Henry County, Georgia",154900,2931
0500000US13153,13153,"Houston County, Georgia",135800,3947
0500000US13155,13155,"Irwin County, Georgia",81200,9370
0500000US13157,13157,"Jackson County, Georgia",163200,4785
0500000US13159,13159,"Jasper County, Georgia",119700,9274
0500000US13161,13161,"Jeff Davis County, Georgia",77900,5995
0500000US13163,13163,"Jefferson County, Georgia",69200,5069
0500000US13165,13165,"Jenkins County, Georgia",59100,13581
0500000US13167,13167,"Johnson County, Georgia",64200,5047
0500000US13169,13169,"Jones County, Georgia",124800,9106
0500000US13171,13171,"Lamar County, Georgia",132400,10717
0500000US13173,13173,"Lanier County, Georgia",102000,25287
0500000US13175,13175,"Laurens County, Georgia",85000,4195
0500000US13177,13177,"Lee County, Georgia",156800,7148
0500000US13179,13179,"Liberty County, Georgia",120500,3645
